id,doi,year,venue,title,cited_by,M_material,T_task,E_env,trust_flags,P_physics,depth_tier,duplicate_of,eligibility_concern
2-s2.0-105026381172,10.1038/s41598-025-28892-9,2026,Scientific Reports,Forecasting the rheological properties of alkali-activated concrete utilizing gene expression programming,0,mixed/other-AAM,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105023679436,10.1016/j.jclepro.2025.147176,2025,Journal of Cleaner Production,Sustainable dynamic multi-objective optimization framework of fiber-reinforced geopolymer for soils stabilization based on machine learning and NSGA-Ⅱ algorithm,3,stabilized-soil,multi-objective-optimization,carbon;cost,none-detected,I(data-driven),DEEP,,
2-s2.0-105034333069,10.3390/gels12030215,2026,Gels,Prediction of Impact Resistance of Nano-SiO2 and Hybrid Fiber Modified Geopolymer Gel Concrete in Marine Wet–Thermal and Chloride Salt Environment,2,mixed/other-AAM,optimization,durability,none-detected,II(domain-features),STANDARD,,
2-s2.0-85207360860,10.3390/ma17205086,2024,Materials,Optimized Machine Learning Model for Predicting Compressive Strength of Alkali-Activated Concrete Through Multi-Faceted Comparative Analysis,13,FA-slag,optimization,carbon;waste-valorization,XAI,I(data-driven),DEEP,,
2-s2.0-105001410116,10.1016/j.mtcomm.2025.112326,2025,Materials Today Communications,Machine learning prediction of drying shrinkage for alkali-activated materials and multi-objective optimization,4,FA-slag,multi-objective-optimization,carbon;cost,XAI,II(domain-features),DEEP,,
2-s2.0-105027080426,10.1016/j.jobe.2025.115126,2026,Journal of Building Engineering,Predicting compressive strength of red mud-based geopolymers via machine learning: Insights from experimental validation,0,red-mud,prediction,waste-valorization,XAI;ext-val;OOD/transfer,II(domain-features),STANDARD,,
2-s2.0-105023209892,10.3390/su172210180,2025,Sustainability (Switzerland),Natural Clay in Geopolymer Concrete: A Sustainable Alternative Pozzolanic Material for Future Green Construction—A Comprehensive Review,6,FA-slag,prediction,carbon;waste-valorization;durability,OOD/transfer,I(data-driven),DEEP,,
2-s2.0-105040692013,10.1016/j.nxmate.2026.102389,2026,Next Materials,Machine Learning (ML) driven classification and optimization of silica fume- polypropylene fiber induced geopolymer concrete using clustering and regression techniques,1,FA-slag,optimization,cost,none-detected,I(data-driven),STANDARD,,
2-s2.0-105043819034,10.1016/j.istruc.2026.112552,2026,Structures,A novel robust model: Dimensionless ensemble machine learning to predict behavior of geopolymer concrete,0,mixed/other-AAM,prediction,none-explicit,XAI;OOD/transfer,I(data-driven),STANDARD,,
2-s2.0-85205322150,10.1016/j.rineng.2024.103036,2024,Results in Engineering,Harnessing explainable Artificial Intelligence (XAI) for enhanced geopolymer concrete mix optimization,21,mixed/other-AAM,optimization,none-explicit,XAI,I(data-driven),STANDARD,,
