paper_id,doi,authors,year,journal,material_class,precursors,data_source,n_samples,n_features,targets,algorithms,hyperparams_reported,cv_scheme,train_test_split,XAI_method,UQ_method,calibration,robustness_comparison,robustness_perturbation,external_validation,OOD_eval,physical_constraints,carbon_objective,LCA,cost,OPC_comparison,dataset_available,code_available,M_material,T_task,P_physics_type,E_env_function,D_deployment,SC_explainability,SC_uncertainty,SC_calibration,SC_robustness,SC_OOD,SC_external_val,SC_physical_consistency,SC_reproducibility,key_limitation
DEEP-05,10.1007/s10853-021-06324-z,Voelker C.; Firdous R.; Stephan D.; Kruschwitz S.,2021,Journal of Materials Science,alkali-activated binders (multi-precursor),literature AAB mixes (compositional+processing space),"compiled, 131 data points from publications (sources described)",131,composition + processing (high-dimensional),28d compressive strength,"Sequential learning: GPR, shallow NN, linear regression, decision tree, tree ensemble surrogates + utility functions MEI, MLI, novel MEI/MLI+distance",Y,SL discovery benchmark (experiments-to-target metric),iterative acquisition from labeled pool,N,GPR variance + DT/TE sampling-based uncertainty (drives utility functions),N,Y (5 surrogates x 4 utilities),P (training-size sensitivity),N,N,N,P (CO2 motivation; strength target only),none,N,P,Y (sources documented),not-stated,multi-precursor AAB,experiment-selection,I,carbon-motivation,adaptive-SIM (retrospective benchmark),N,Y,N,Y,N,N,N,P,simulated SL on 131 literature points; claims order-of-magnitude data reduction but no physical loop; earliest geopolymer SL paper (2021) - anchors the adaptive-stage timeline
DEEP-06,10.1016/j.nxmate.2026.103027,Parakhiya D.; Jagad G.; Thoriya A.,2026,Next Materials,geopolymer concrete,literature GPC database,compiled (594 records; audited+dedup to 557),557,13,compressive strength (probabilistic),TabPFN + NGBoost with native and conformalized prediction intervals (split-conformal),Y,30 independent random splits; group-leakage control (identical feature vectors kept in one subset),train/calibration/test,N,native intervals + split conformal calibration,Y - PICP/MPIW/normalized width/Winkler across levels; 90% native coverage 89.55%,Y,Y (30 splits),N,P (leakage-aware grouping),N,N,none,N,N,Y (published database),not-stated,GPC,prediction+UQ,I,none-explicit,lab prediction,N,Y,Y,Y,P,N,N,P,model-quality exemplar: conformal calibration + leakage-aware evaluation; strongest calibration practice found in corpus alongside PILOT-01
DEEP-07,10.1007/s12289-026-02054-2,Jagad G.; Thoriya A.,2026,International Journal of Material Forming,FA-GGBFS geopolymer concrete,fly ash + GGBFS,"structured database, 672 specimens",672,8,CS + strength-uncertainty design regions,"13 models screened; GradientBoost + LightGBM; conformal variants (split, K-fold residual, jackknife+bootstrap); NSGA-II coupled to adaptive conformal thresholds for inverse design",Y (Bayesian opt),10-fold + held-out,Y,SHAP + Morris + PAWN (convergent interpretability),"conformal prediction (multiple schemes, Mondrian analysis)","Y - PICP 0.9703 at 90%, MPIW, ES",Y,Y,N,"Y - nearest-neighbour applicability-domain analysis; EXPLICITLY states high R2 reflects dense interpolation, not extrapolation",N,N,none,N,N,P,not-stated,FA-GGBFS GPC,inverse-design (UQ-coupled NSGA-II),I-II,waste-valorization,formulation recommendation (in-envelope),Y,Y,Y,Y,Y,N,P,P,"QUOTABLE: authors state high R2 ""mainly reflects dense interpolation within the experimental envelope rather than unrestricted extrapolation"" - rare explicit validity-domain honesty; the review should hold this up as best practice"
DEEP-08,10.1007/s43452-025-01190-x,Gu X.; Li Z.; Zhang Y.; Yang B.; Nehdi M.L.; Zhang L.,2025,Archives of Civil and Mechanical Engineering,coal gangue-based AAM,coal gangue,own experiments + VAE/GAN synthetic augmentation (custom difference-matrix reliability check),"small experimental set, augmented",mix proportion variables,CS / mix-proportion repository,"VAE + GAN augmentation; 5 ML models; best = GAN+MLP (R2 0.959, MAE 2.64 MPa)",P,secondary assessment on augmented data,P,N,N,N,Y,P (augmentation reliability matrix),P (validation against experimental subset),N,N,P (motivation),none,N,N,P,not-stated,coal-gangue AAM,inverse-design (mix repository generation),I-II,waste-valorization;carbon-motivation,formulation recommendation,N,N,N,P,N,P,N,P,generative augmentation of small experimental data - accuracy metrics computed partly on synthetic data risk optimism; relevant to review Section on data-scarcity workarounds
DEEP-09,10.1016/j.cscm.2025.e05311,Liu C.; Jiang Y.; Xiao R.; Wan Z.; Zhang Y.,2025,Case Studies in Construction Materials,alkali-activated materials (carbonation durability),AAM systems (compiled),compiled carbonation datasets + CTGAN augmentation tested,not stated in abstract,composition + exposure variables,carbonation depth,5 ML models; ANN with EMBEDDED SYMBOLIC PHYSICS-INFORMED FORMULA + dropout; CTGAN augmentation (found detrimental),P,reported,Y,"SHAP (time, CO2 conc primary; CaO positive for resistance)",P (dropout),N,Y,P,P (generalization emphasis),P,Y - symbolic carbonation formula embedded in ANN = genuine Type IV constrained learning,N (durability focus),none,N,N,P (OA),not-stated,AAM,prediction (durability),IV (verified - embedded physics formula),durability,lab prediction (field potential claimed),Y,P,N,P,P,P,Y,P,one of very few VERIFIED Type-IV papers; also counter-evidence on GAN augmentation (CTGAN degraded accuracy) - contrast with DEEP-08
DEEP-10,10.1016/j.dibe.2026.100951,Natarajan Y.; Sri Preethaa K.R.; et al.,2026,Developments in the Built Environment,geopolymer concrete,literature mixes (binder chemistry features),"compiled, 443 mixtures",443,"domain-informed (binder chemistry, activation, water, aggregates, curing)",28d CS + cost,iCOMPRESS recommender: hyperparameter-optimized Random Forest + cost optimization + diverse mixture recommendation,Y,5-fold (MAE 6.23+-1.18),independent test (MAE 7.86 - degradation honestly reported),"feature analysis (slag fraction, Ca contribution, NaOH, W/S, curing T)",N,N,P,P (CV spread reported),Y (independent test set),N,P (domain-informed features),P (low-carbon framing),none,Y - explicit cost optimization objective,N,P (OA),not-stated,GPC,inverse-design (recommender),II,cost;carbon-motivation,formulation recommendation (decision-support tool),P,N,N,P,N,Y,P,P,cost data provenance and generalization beyond literature envelope unclear; honest CV-vs-test degradation reporting worth citing
DEEP-11,10.1007/s43452-024-01067-5,Kazemi F.; Shafighfard T.; Jankowski R.; Yoo D.-Y.,2025,Archives of Civil and Mechanical Engineering,alkali-activated UHPC,AA-UHPC systems,"compiled, 284 experimental datasets",284,18,compressive strength,Active learning on stacked ML (AL-Stacked ML-3); GUI deployed,Y,comparative evaluation,Y + experimental validation of GUI,feature significance evaluation,P (AL acquisition implies uncertainty use),N,Y,P,Y - GUI validated against own experimental tests,N,N,P (motivation),none,N,P,P,P (GUI released),AA-UHPC,experiment-selection (AL) + prediction,I-II,carbon-motivation,adaptive-SIM with experimental spot-validation + deployed GUI tool,P,P,N,Y,N,Y,N,P,"AL improves stacked models by 4.1% - modest but demonstrated; closest thing to lab-coupled adaptive workflow found so far (GUI + experimental validation), still not a closed loop"
DEEP-12,10.1016/j.engappai.2025.113254,Guo Y.; Gao D.; Liu J.,2026,Engineering Applications of Artificial Intelligence,geopolymer recycled aggregate concrete,GP binder + recycled aggregates,compiled/experimental (per full text),,,28d CS + cost + CO2 + energy (4-objective),prior Knowledge Embedded Neural Network (governing equations in NN) + NSGA-II,,,,P,N,N,,,P,N,Y - governing equations embedded (verified Type IV),Y (CO2 minimized),emission-factors,Y,,,,GP-RAC,multi-objective-optimization + inverse design,IV (verified),carbon;cost;energy,formulation recommendation,P,N,N,P,N,P,Y,P,"strongest single integration found: physics-embedded NN inside 4-objective NSGA-II incl. carbon+energy - the trajectory paper closest to ""environmentally optimized design"""
DEEP-13,10.1016/j.cemconcomp.2025.106364,Pei J.S.F.; Choo C.S.; Sunarso J.; et al.,2026,Cement and Concrete Composites,one-part AAM,diverse precursors + solid activators,compiled,,,strength development,CIML: ML + thermodynamic modelling integration,,,,Y (chemistry-linked explanations),N,N,,,P,P,Y - thermodynamic module (verified Type V),P,none,N,,,,one-part AAM,prediction,V (verified),none-explicit,lab prediction,Y,N,N,P,P,P,Y,P,one-part focus + thermodynamics = rare combination; check full text for GEMS details
DEEP-14,10.1016/j.autcon.2025.106667,Jiang Z.; Ran Y.; Bao Y.,2026,Automation in Construction,UHPC -> UHPG (generalization case),UHPG design space,literature knowledge + LLM extraction,,,accelerated design,LLM one-shot automated knowledge-graph construction (52h->1h) feeding knowledge-guided ML design,,,,Y (KG transparency),N,N,,,P (UHPG generalization demo),N,Y (KG-encoded domain knowledge),N,none,N,,,,UHPG,inverse-design (KG-guided),III (verified),none-explicit,formulation recommendation,Y,N,N,P,N,P,Y,P,"FIRST LLM APPLICATION touching geopolymers in corpus (via UHPG use case) - anchors the LLM/foundation-model stage of the trajectory at 2026, design-support role only"
