keep_id,dup_id,verdict,evidence,title_sim,year_keep,year_dup,venue,title
2-s2.0-105001472285,CR81,DUPLICATE,embedded-DOI match,0.76,2025,2025,Asian Journal of Civil Engineering,Machine learning modelling for strength prediction and durability investigation of alkali activated binders wi
2-s2.0-105003402939,CR60,DUPLICATE,embedded-DOI match,0.74,2025,2024,Structural Concrete,Predictive modeling of compressive strength of geopolymer concrete before and after high temperature applying 
2-s2.0-105004260401,SD266,DUPLICATE,"same year+venue, sim>0.80",0.88,2025,2025,Case Studies in Construction Materials,"Production and optimization of affordable artificial geopolymer aggregates containing crumb rubber, plastic wa"
2-s2.0-105004441337,SD257,DISTINCT,year/venue mismatch,0.69,2026,2026,Iranian Journal of Science and Technolog,Experimental and Machine Learning-Based Analysis of Oxide Ratios in Alumina-Silicate Geopolymer Formation
2-s2.0-105004811499,SD288,DISTINCT,year/venue mismatch,0.76,2025,2025,Journal of Building Engineering,Compressive strength prediction and feature analysis for GGBS-Based geopolymer concrete using optimized XGBoos
2-s2.0-105005547455,SP20,DUPLICATE,"same year+venue, sim>0.80",0.92,2025,2025,Asian Journal of Civil Engineering,Comparative study on the mechanical properties of geopolymer concrete containing GGBS and fly ash using experi
2-s2.0-105006578328,SD67,DUPLICATE,"same year+venue, sim>0.80",0.87,2025,2025,Engineering Applications of Artificial I,Chemically-Guided extreme gradient boosting models for predicting the elastic modulus of alkali-activated Conc
2-s2.0-105007141533,SD80,DUPLICATE,"same year+venue, sim>0.80",0.88,2025,2025,Sustainable Chemistry and Pharmacy,Recycling three local waste materials for optimizing the mechanical performance of fly ash-based geopolymer ce
2-s2.0-105008226145,SD59,DUPLICATE,"same year+venue, sim>0.80",0.87,2025,2025,Cleaner Engineering and Technology,Multivariate predictive modeling of compressive strength in ground granulated blast furnace slag/fly ash-based
2-s2.0-105008549217,2-s2.0-85116312721,DISTINCT,different DOIs,0.76,2025,2021,Results in Engineering,Prediction of geopolymer concrete compressive strength using artificial neural network and genetic algorithm
2-s2.0-105008549217,2-s2.0-85142350982,DISTINCT,different DOIs,0.84,2025,2022,Results in Engineering,Prediction of geopolymer concrete compressive strength using artificial neural network and genetic algorithm
2-s2.0-105008549217,2-s2.0-85185303470,DISTINCT,different DOIs,0.80,2025,2024,Results in Engineering,Prediction of geopolymer concrete compressive strength using artificial neural network and genetic algorithm
2-s2.0-105009831186,2-s2.0-105017085569,DISTINCT,different DOIs,0.81,2025,2026,Civil Engineering Infrastructures Journa,Prediction of Compressive Strength of Geopolymer Fiber Reinforced Concrete Using Machine Learning
2-s2.0-105009831186,2-s2.0-84959516818,DISTINCT,different DOIs,0.71,2025,2015,Civil Engineering Infrastructures Journa,Prediction of Compressive Strength of Geopolymer Fiber Reinforced Concrete Using Machine Learning
2-s2.0-105009831186,2-s2.0-85116622691,DISTINCT,different DOIs,0.85,2025,2022,Civil Engineering Infrastructures Journa,Prediction of Compressive Strength of Geopolymer Fiber Reinforced Concrete Using Machine Learning
2-s2.0-105009831186,2-s2.0-85152962936,DISTINCT,different DOIs,0.71,2025,2023,Civil Engineering Infrastructures Journa,Prediction of Compressive Strength of Geopolymer Fiber Reinforced Concrete Using Machine Learning
2-s2.0-105009831186,2-s2.0-85153629677,DISTINCT,different DOIs,0.81,2025,2023,Civil Engineering Infrastructures Journa,Prediction of Compressive Strength of Geopolymer Fiber Reinforced Concrete Using Machine Learning
2-s2.0-105009831186,2-s2.0-85156110847,DISTINCT,different DOIs,0.78,2025,2023,Civil Engineering Infrastructures Journa,Prediction of Compressive Strength of Geopolymer Fiber Reinforced Concrete Using Machine Learning
2-s2.0-105012974450,2-s2.0-85171274132,DISTINCT,different DOIs,0.87,2025,2024,Results in Engineering,Prediction of compressive strength of fly ash-based geopolymers concrete based on machine learning
2-s2.0-105017071730,2-s2.0-84935889558,DISTINCT,different DOIs,0.72,2025,2015,Transportation Infrastructure Geotechnol,Prediction of Unconfined Compressive Strength in Pozzolanic Geopolymer-Stabilized Granular Materials Using Tre
