doi,year,venue,title,T_task,carbon_treatment,quantified,carbon_in_optimization
10.1016/j.jclepro.2025.147176,2025,Journal of Cleaner Production,Sustainable dynamic multi-objective optimization framework of fiber-reinforced geopolymer for soils stabilizat,multi-objective-optimization,carbon-as-objective,N,Y
10.3390/ma17205086,2024,Materials,Optimized Machine Learning Model for Predicting Compressive Strength of Alkali-Activated Concrete Through Mult,optimization,rhetoric-only,N,N
10.1016/j.mtcomm.2025.112326,2025,Materials Today Communications,Machine learning prediction of drying shrinkage for alkali-activated materials and multi-objective optimizatio,multi-objective-optimization,carbon-as-objective,N,Y
10.1016/j.clwas.2025.100270,2025,Cleaner Waste Systems,"Green optimization of vapour-cured geopolymer mortars: Predicting cost, mechanical properties, and environment",optimization,emission-factors-quantified,N,N
10.1016/j.istruc.2026.111649,2026,Structures,A critical synthesis on the synergetic effect of hybrid fibers in enhancing concrete properties,prediction,LCA-performed,N,N
10.1007/s42107-025-01450-4,2025,Asian Journal of Civil Engineering,Interpretable GA-PSO-optimised deep learning for multi-objective geopolymer concrete strength prediction,multi-objective-optimization,carbon-as-objective,N,Y
10.1016/j.jobe.2026.115878,2026,Journal of Building Engineering,Multi-objective optimization of mix design for geopolymer foam concrete with industrial solid wastes based on ,multi-objective-optimization,emission-factors-quantified,Y,N
10.1080/14680629.2025.2495705,2026,Road Materials and Pavement Design,"Synergy of industrial wastes in eco-friendly, air-cured alkali activated pavement concrete composites: propert",prediction,LCA-performed,Y,N
10.1061/JSDCCC.SCENG-2032,2026,Journal of Structural Design and Construction,Development of an ANN Model for Predicting Optimum Mix Proportion of Fiber-Reinforced Geopolymer Concrete and ,optimization,emission-factors-quantified,Y,N
10.1016/j.jclepro.2024.143463,2024,Journal of Cleaner Production,Ensemble machine learning models for predicting the CO2 footprint of GGBFS-based geopolymer concrete,optimization,carbon-as-objective,N,Y
10.1016/j.rinma.2025.100791,2025,Results in Materials,Prediction and optimization of strength and CO2 emission for geopolymer concrete mix design using machine lear,optimization,carbon-as-objective,Y,Y
10.1016/j.jclepro.2026.147501,2026,Journal of Cleaner Production,Machine learning-driven multi-objective optimization and dynamic performance prediction of geopolymer concrete,multi-objective-optimization,carbon-as-objective,N,Y
10.1038/s41598-026-48502-6,2026,Scientific Reports,"Explainable machine learning based optimization of strength, durability, and carbon efficiency of fly ash–GGBS",optimization,LCA-performed,N,Y
10.1016/j.powtec.2025.121900,2026,Powder Technology,High-fidelity data-driven multi-objective design of class F fly ash–geopolymer concrete,multi-objective-optimization,emission-factors-quantified,N,N
10.32604/cmes.2026.083654,2026,CMES - Computer Modeling in Engineering and S,Accurate Compressive Strength Prediction of Fly Ash Geopolymers Using Advanced Ensemble Models and Morris Anal,optimization,emission-factors-quantified,N,N
10.18702/acf.2025.11.1.53,2025,Journal of Asian Concrete Federation,Data-driven investigation and multi-objective optimization design of alkali-activated concrete,multi-objective-optimization,rhetoric-only,N,N
10.3390/ma19112235,2026,Materials,Predicting Mechanical Strength of Alkali-Activated High-Performance Concrete Using Machine-Learning Methods,optimization,rhetoric-only,N,N
10.1038/s41598-025-27361-7,2025,Scientific Reports,AI-based modeling of CO2 footprint in geopolymer concrete production containing GGBFS as a by-product from the,optimization,carbon-as-objective,N,Y
10.1016/j.cemconcomp.2024.105723,2024,Cement and Concrete Composites,Knowledge-guided data-driven design of ultra-high-performance geopolymer (UHPG),multi-objective-optimization,rhetoric-only,N,N
10.3390/su17167483,2025,Sustainability (Switzerland),Geopolymer Materials: Cutting-Edge Solutions for Sustainable Design Building,optimization,LCA-performed,Y,N
10.1007/s42107-025-01367-y,2025,Asian Journal of Civil Engineering,Comparative study on the mechanical properties of geopolymer concrete containing GGBS and fly ash using experi,optimization,emission-factors-quantified,N,N
10.1007/s42107-025-01506-5,2026,Asian Journal of Civil Engineering,Prediction and comparison of compressive strength of geopolymer concrete by using decision tree and random for,optimization,rhetoric-only,N,N
