id,source,year,venue,title,decision
SD6,ScienceDirect,2026,Journal of Building Engineering,A review on the engineering performance and durability of geopolymer concrete under extreme conditions,CONTEXT-REVIEW
SD7,ScienceDirect,2024,Construction and Building Materials,"A systematic literature review of AI-based prediction methods for self-compacting, geopolymer, and other eco-friendly concrete types",CONTEXT-REVIEW
SD11,ScienceDirect,2026,Engineering Applications of Artificial Intelligence,"Data-driven design of solid-waste-based alkali-activated material via data augmentation, performance prediction, and virtual screening",INCLUDE
SD15,ScienceDirect,2024,Construction and Building Materials,Evaluation and prediction of slag-based geopolymer's compressive strength using DOE approach and ANN algorithms,INCLUDE
SD29,ScienceDirect,2024,Results in Engineering,Exploring the rheological and mechanical properties of alkali activated mortar incorporating waste foundry sand: experimental and machine learning investigation,INCLUDE
SD44,ScienceDirect,2026,Results in Engineering,Optimization of cleaner masonry blocks: Response surface methodology and genetic algorithm integrated neural networks in the applications of slag and waste sand,INCLUDE
SD45,ScienceDirect,2022,Materials Today: Proceedings,A comparative study of normal and self-compacting geopolymer mortar and its strength prediction using tensor flow approach,EXCLUDE-EC4
SD59,ScienceDirect,2025,Cleaner Engineering and Technology,Multivariate predictive modeling of compressive strength in GGBS/fly ash-based alkali-activated concrete,INCLUDE
SD67,ScienceDirect,2025,Engineering Applications of Artificial Intelligence,Chemically-Guided extreme gradient boosting models for predicting the elastic modulus of alkali-activated Concrete,INCLUDE
SD73,ScienceDirect,2026,Construction and Building Materials,Mechanistic insights into the rheology of recycled concrete powder based geopolymer using SHAP-integrated machine learning,INCLUDE
SD75,ScienceDirect,2026,Ceramics International,"Understanding the Behavior of Traditional Ceramics Waste Under Alkali Activation: Process, Thermal, and Mineralogical Effects",FULLTEXT-CHECK
SD76,ScienceDirect,2026,Ain Shams Engineering Journal,Neural network-based prediction of mechanical properties in high-strength fly ash-based geopolymer mortars,INCLUDE
SD78,ScienceDirect,2023,Environmental Technology & Innovation,Neural network optimization during the purification of industrial effluents using steel slag,EXCLUDE-EC5
SD80,ScienceDirect,2025,Sustainable Chemistry and Pharmacy,Recycling three local waste materials for optimizing the mechanical performance of fly ash-based geopolymer cement: ternary mixture design and ANN modeling,INCLUDE
SD84,ScienceDirect,2025,Sustainable Materials and Technologies,Structural-functional geopolymer/Ag9(SiO4)2NO3/g-C3N4 adsorbent-photocatalysts,EXCLUDE-EC5
SD91,ScienceDirect,2026,Cement and Concrete Research,Quantifying resolution-dependent microstructure and pore-network topology in LDH-modified alkali-activated slag pastes via synchrotron X-ray nano-holotomography,FULLTEXT-CHECK
SD95,ScienceDirect,2025,Procedia Structural Integrity,Assessment of AI Techniques for Estimating the Property of Strength of Geopolymers Concrete,EXCLUDE-EC4
SD97,ScienceDirect,2026,Cleaner Environmental Systems,Workability of geopolymer concrete and mortar materials: A systematic review,CONTEXT-REVIEW
SD99,ScienceDirect,2024,Journal of Water Process Engineering,Modification of geo-filters (BOF Slag - NaOH/Na2SiO3/FA) for removal of Fe3+ and SO42- from acidic mine effluent: AI modeling,EXCLUDE-EC5
SD106,ScienceDirect,2025,Next Materials,Development of an ANN based model for tailoring the fracture response of eco-friendly engineered geopolymer composites (EGC),INCLUDE
SD107,ScienceDirect,2025,Procedia Structural Integrity,Prediction of Geopolymer Composite Strength Using Soft Computing Techniques,EXCLUDE-EC4
SD108,ScienceDirect,2025,Results in Materials,Effect of ingredients and experimental parameter on the rheological and mechanical properties of self-compacting agro-geopolymer paste: Experimental and autoencoder based deep learning,INCLUDE
SD111,ScienceDirect,2024,Case Studies in Construction Materials,Predictive modelling of compressive strength of fly ash and GGBS based geopolymer concrete using machine learning techniques,INCLUDE
SD113,ScienceDirect,2024,Journal of Hazardous Materials,Machine learning-based prediction of heavy metal immobilization rate in the solidification/stabilization of MSWI fly ash by geopolymers,INCLUDE
SD114,ScienceDirect,2025,Journal of Cleaner Production,Sustainable dynamic multi-objective optimization framework of fiber-reinforced geopolymer for soils stabilization based on machine learning and NSGA-II,INCLUDE
SD117,ScienceDirect,2021,Procedia Structural Integrity,Fracture parameters of alkali-activated aluminosilicate composites with ceramic precursor,EXCLUDE-EC4
SD120,ScienceDirect,2025,Journal of Environmental Chemical Engineering,Nanoscale intergrowth of adsorption-photocatalysis active sites of geopolymer/Ag9(SiO4)2NO3,EXCLUDE-EC5
SD130,ScienceDirect,2025,Hybrid Advances,Sustainable geopolymer concrete evaluation using machine learning and PDP analysis,INCLUDE
SD133,ScienceDirect,2026,Journal of Constructional Steel Research,"Compression performance of square concrete-filled steel tube columns with steel-fibre-reinforced geopolymer concrete: Experiment, simulation and machine-learning",INCLUDE
SD145,ScienceDirect,2024,Materials Today Communications,AI-driven design for the compressive strength of ultra-high performance geopolymer concrete (UHPGC): From explainable ensemble models to the GUI,INCLUDE
